operator;operatorQID;jurisdictions;jurisdictionQIDs;country;countryQID;city;cityQID;latitude;longitude;phone;email;website;facebook;twitter;youtube;picture;pictureAuthor;pictureLicense;pictureLicenseURL;type;typeQID;creation;QID
Guatemala;http://www.wikidata.org/entity/Q774;Indonesia|Malaysia;http://www.wikidata.org/entity/Q252|http://www.wikidata.org/entity/Q833;Indonesia;http://www.wikidata.org/entity/Q252;Jakarta;http://www.wikidata.org/entity/Q3630;-6.2153;106.8204;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q107578838
Guatemala;http://www.wikidata.org/entity/Q774;Bulgaria|Cyprus|Israel;http://www.wikidata.org/entity/Q219|http://www.wikidata.org/entity/Q229|http://www.wikidata.org/entity/Q801;Israel;http://www.wikidata.org/entity/Q801;Jerusalem;http://www.wikidata.org/entity/Q1218;31.75005;35.18664;;;;EmbaGuateIsrael;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q109780306
Guatemala;http://www.wikidata.org/entity/Q774;Greece|Malta|Vatican City|Sovereign Military Order of Malta;http://www.wikidata.org/entity/Q41|http://www.wikidata.org/entity/Q233|http://www.wikidata.org/entity/Q237|http://www.wikidata.org/entity/Q190353;Italy;http://www.wikidata.org/entity/Q38;Rome;http://www.wikidata.org/entity/Q220;41.8987;12.4738;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q56338586
Guatemala;http://www.wikidata.org/entity/Q774;Italy|Montenegro|San Marino|Serbia;http://www.wikidata.org/entity/Q38|http://www.wikidata.org/entity/Q236|http://www.wikidata.org/entity/Q238|http://www.wikidata.org/entity/Q403;Italy;http://www.wikidata.org/entity/Q38;Rome;http://www.wikidata.org/entity/Q220;41.9123;12.4749;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q103830614
Guatemala;http://www.wikidata.org/entity/Q774;Japan|Singapore|Iraq|Philippines;http://www.wikidata.org/entity/Q17|http://www.wikidata.org/entity/Q334|http://www.wikidata.org/entity/Q796|http://www.wikidata.org/entity/Q928;Japan;http://www.wikidata.org/entity/Q17;Higashi-Azabu;http://www.wikidata.org/entity/Q11528788;;;;;;Embajada.Guatemala.en.Japon;EmbajadaGt_Jap;;http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20Guatemala%20in%20Tokyo.jpg;Syced>Syced</a>;CC0;http://creativecommons.org/publicdomain/zero/1.0/deed.en;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q62042923
Guatemala;http://www.wikidata.org/entity/Q774;Mexico;http://www.wikidata.org/entity/Q96;Mexico;http://www.wikidata.org/entity/Q96;Mexico City;http://www.wikidata.org/entity/Q1489;19.41757;-99.21298;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Embajada%20de%20Guatemala%20en%20Mexico.jpg;Aquintero82>Aquintero82</a>;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111669332
Guatemala;http://www.wikidata.org/entity/Q774;South Africa|Morocco;http://www.wikidata.org/entity/Q258|http://www.wikidata.org/entity/Q1028;Morocco;http://www.wikidata.org/entity/Q1028;Rabat;http://www.wikidata.org/entity/Q3551;33.9582;-6.8355;;;https://www.marruecos.minex.gob.gt;EmbaguateMarruecos;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q106675779
Guatemala;http://www.wikidata.org/entity/Q774;Netherlands;http://www.wikidata.org/entity/Q55;Netherlands;http://www.wikidata.org/entity/Q55;The Hague;http://www.wikidata.org/entity/Q36600;52.084;4.3015;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q100700791
Guatemala;http://www.wikidata.org/entity/Q774;Peru|Bolivia;http://www.wikidata.org/entity/Q419|http://www.wikidata.org/entity/Q750;Peru;http://www.wikidata.org/entity/Q419;Jesús María;http://www.wikidata.org/entity/Q2723643;-12.08401;-77.04958;;;https://peru.minex.gob.gt;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110667863
Guatemala;http://www.wikidata.org/entity/Q774;Russia|Belarus|Moldova|Kazakhstan|Armenia;http://www.wikidata.org/entity/Q159|http://www.wikidata.org/entity/Q184|http://www.wikidata.org/entity/Q217|http://www.wikidata.org/entity/Q232|http://www.wikidata.org/entity/Q399;Russia;http://www.wikidata.org/entity/Q159;Moscow;http://www.wikidata.org/entity/Q649;55.72875;37.61633333;;;http://www.embaguate.ru;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q4373987
Guatemala;http://www.wikidata.org/entity/Q774;Spain|Andorra;http://www.wikidata.org/entity/Q29|http://www.wikidata.org/entity/Q228;Spain;http://www.wikidata.org/entity/Q29;Madrid;http://www.wikidata.org/entity/Q2807;40.46085;-3.689126;;;https://embajadaguatemala.es/;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q105239404
Guatemala;http://www.wikidata.org/entity/Q774;Norway|Finland|Sweden|Denmark|Lithuania|Latvia;http://www.wikidata.org/entity/Q20|http://www.wikidata.org/entity/Q33|http://www.wikidata.org/entity/Q34|http://www.wikidata.org/entity/Q35|http://www.wikidata.org/entity/Q37|http://www.wikidata.org/entity/Q211;Sweden;http://www.wikidata.org/entity/Q34;Stockholm;http://www.wikidata.org/entity/Q1754;59.3312;18.0483;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q18290281
Guatemala;http://www.wikidata.org/entity/Q774;Taiwan;http://www.wikidata.org/entity/Q865;Taiwan;http://www.wikidata.org/entity/Q865;Taipei;http://www.wikidata.org/entity/Q1867;25.117222222;121.524111111;;;http://www.taiwan.minex.gob.gt/;1649408381943404;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q89042220
Guatemala;http://www.wikidata.org/entity/Q774;Turkey|Azerbaijan|Georgia|Qatar;http://www.wikidata.org/entity/Q43|http://www.wikidata.org/entity/Q227|http://www.wikidata.org/entity/Q230|http://www.wikidata.org/entity/Q846;Turkey;http://www.wikidata.org/entity/Q43;Ankara;http://www.wikidata.org/entity/Q3640;39.89376;32.86757;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110972502
Guatemala;http://www.wikidata.org/entity/Q774;Republic of Ireland|Kenya|Ethiopia|Ghana|United Kingdom|Oman|Zimbabwe|Zambia|Equatorial Guinea|Ivory Coast|Mauritius|Mozambique|Nigeria|Senegal;http://www.wikidata.org/entity/Q27|http://www.wikidata.org/entity/Q114|http://www.wikidata.org/entity/Q115|http://www.wikidata.org/entity/Q117|http://www.wikidata.org/entity/Q145|http://www.wikidata.org/entity/Q842|http://www.wikidata.org/entity/Q954|http://www.wikidata.org/entity/Q953|http://www.wikidata.org/entity/Q983|http://www.wikidata.org/entity/Q1008|http://www.wikidata.org/entity/Q1027|http://www.wikidata.org/entity/Q1029|http://www.wikidata.org/entity/Q1033|http://www.wikidata.org/entity/Q1041;United Kingdom;http://www.wikidata.org/entity/Q145;London;http://www.wikidata.org/entity/Q84;51.51511538;-0.193503866;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Guatemalan%20Embassy%2C%20London.jpg;Simon Burchell>Simon Burchell</a>;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q16982846
Guatemala;http://www.wikidata.org/entity/Q774;United States of America;http://www.wikidata.org/entity/Q30;United States of America;http://www.wikidata.org/entity/Q30;Washington, D.C.;http://www.wikidata.org/entity/Q61;38.9122;-77.0494;;;http://guatemalaembassyusa.org/;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Embassy%20of%20Guatemala%2C%20Washington%2C%20D.C..jpg;SimonP>SimonP</a> at <a href=https://en.wikipedia.org/wiki/ class=extiw title=wikipedia:>English Wikipedia</a>;CC-BY-SA-3.0;http://creativecommons.org/licenses/by-sa/3.0/;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q5369708
Guatemala;http://www.wikidata.org/entity/Q774;Uruguay;http://www.wikidata.org/entity/Q77;Uruguay;http://www.wikidata.org/entity/Q77;Montevideo;http://www.wikidata.org/entity/Q1335;-34.88209;-56.04557;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q110492358
Guinea;http://www.wikidata.org/entity/Q1006;;;Algeria;http://www.wikidata.org/entity/Q262;Algiers;http://www.wikidata.org/entity/Q3561;;;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q109016758
Guinea;http://www.wikidata.org/entity/Q1006;;;Angola;http://www.wikidata.org/entity/Q916;;;-8.8093346;13.2490368;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q111207227
Guinea;http://www.wikidata.org/entity/Q1006;Belgium|Luxembourg;http://www.wikidata.org/entity/Q31|http://www.wikidata.org/entity/Q32;Belgium;http://www.wikidata.org/entity/Q31;Schaerbeek - Schaarbeek;http://www.wikidata.org/entity/Q12887;50.8485;4.4033;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q69519834
Guinea;http://www.wikidata.org/entity/Q1006;Brazil|Chile|Paraguay;http://www.wikidata.org/entity/Q155|http://www.wikidata.org/entity/Q298|http://www.wikidata.org/entity/Q733;Brazil;http://www.wikidata.org/entity/Q155;Brasília;http://www.wikidata.org/entity/Q2844;-15.84615;-47.89059;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q105703260
Guinea;http://www.wikidata.org/entity/Q1006;Canada;http://www.wikidata.org/entity/Q16;Canada;http://www.wikidata.org/entity/Q16;Ottawa;http://www.wikidata.org/entity/Q1930;45.43022;-75.67487;;;https://ambaguinee-ca.com;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Guinea%2C%20Ottawa.jpg;SimonP>SimonP</a> at <a href=https://en.wikipedia.org/wiki/ class=extiw title=wikipedia:>English Wikipedia</a>;CC-BY-SA-3.0;http://creativecommons.org/licenses/by-sa/3.0/;embassy;http://www.wikidata.org/entity/Q3917681;1980-01-01T00:00:00Z;http://www.wikidata.org/entity/Q106776533
Guinea;http://www.wikidata.org/entity/Q1006;Mexico|Cuba|Panama;http://www.wikidata.org/entity/Q96|http://www.wikidata.org/entity/Q241|http://www.wikidata.org/entity/Q804;Cuba;http://www.wikidata.org/entity/Q241;Playa;http://www.wikidata.org/entity/Q2066897;23.12168;-82.42031;;;;;;;;;;;embassy;http://www.wikidata.org/entity/Q3917681;;http://www.wikidata.org/entity/Q109178411
